Roteiro: 001-001
Referencia: 2010.04
Arquivo gerado em 07/04/2010 as 14:59:08
Total: 334
Processadas: 334
Emitidas: 7
Retidas: 0
Contas restantes: 0
Data da Leitura;Agente;CDC;Situacao;Leitura Real;Leitura Atribuida;Ocorrencias;Consumo Medido;Consumo Atribuido;Consumo Rateado;Emissoes;Forma de Entrega
4/7/10 8:57:01 AM;26;94279;C;735;;71;7;;;0;
4/7/10 8:53:53 AM;26;94280;C;479;;71;13;;;0;
4/7/10 8:53:42 AM;26;94281;C;601;;71;12;;;0;
4/7/10 8:53:16 AM;26;94282;C;549;;71;11;;;0;
4/7/10 8:54:01 AM;26;94283;C;580;;71;13;;;0;
4/7/10 8:54:11 AM;26;94284;C;963;;71;18;;;0;
4/7/10 9:13:56 AM;26;94287;C;314;;71;6;;;0;
4/7/10 9:13:47 AM;26;94288;C;504;;71;18;;;0;
4/7/10 9:13:39 AM;26;94289;C;158;;71;4;;;0;
4/7/10 9:14:10 AM;26;94290;C;782;;71;17;;;0;
4/7/10 9:14:22 AM;26;94291;C;776;;71;17;;;0;
4/7/10 9:12:55 AM;26;94292;C;323;;71;12;;;0;
4/7/10 9:12:47 AM;26;94293;C;628;;71;12;;;0;
4/7/10 9:12:36 AM;26;94294;C;338;;71;5;;;0;
4/7/10 9:13:07 AM;26;94295;C;403;;71;8;;;0;
4/7/10 9:13:17 AM;26;94296;C;639;;71;14;;;0;
4/7/10 8:59:33 AM;26;94297;C;693;;71;15;;;0;
4/7/10 8:59:20 AM;26;94298;C;398;;71;11;;;0;
4/7/10 8:59:13 AM;26;94299;C;317;;71;6;;;0;
4/7/10 8:58:46 AM;26;94300;C;652;;71;18;;;0;
4/7/10 8:59:03 AM;26;94301;C;379;;71;11;;;0;
4/7/10 8:58:21 AM;26;94302;C;568;;71;15;;;0;
4/7/10 8:58:03 AM;26;94303;C;600;;71;16;;;0;
4/7/10 8:57:44 AM;26;94304;C;831;;71;15;;;0;
4/7/10 8:57:23 AM;26;94305;C;400;;71;8;;;0;
4/7/10 8:57:35 AM;26;94306;C;167;;71;10;;;0;
4/7/10 9:11:41 AM;26;94307;C;352;;71;7;;;0;
4/7/10 9:10:39 AM;26;94308;C;756;;71;10;;;0;
4/7/10 9:10:21 AM;26;94309;C;740;;71;17;;;0;
4/7/10 9:09:59 AM;26;94310;C;513;;71;9;;;0;
4/7/10 9:09:32 AM;26;94311;C;691;;71;9;;;0;
4/7/10 9:09:48 AM;26;94312;C;570;;71;15;;;0;
4/7/10 9:01:32 AM;26;94313;C;576;;71;11;;;0;
4/7/10 9:01:14 AM;26;94314;C;767;;71;19;;;0;
4/7/10 9:01:05 AM;26;94315;C;617;;71;14;;;0;
4/7/10 9:01:48 AM;26;94316;C;681;;71;15;;;0;
4/7/10 9:01:59 AM;26;94317;C;1039;;71;22;;;0;
4/7/10 9:00:23 AM;26;94318;C;366;;71;6;;;0;
4/7/10 9:00:14 AM;26;94319;C;408;;71;3;;;0;
4/7/10 9:00:03 AM;26;94320;C;586;;71;11;;;0;
4/7/10 9:00:31 AM;26;94321;C;607;;71;13;;;0;
4/7/10 9:00:39 AM;26;94322;C;506;;71;12;;;0;
4/7/10 9:12:18 AM;26;94323;C;378;;71;8;;;0;
4/7/10 9:12:03 AM;26;94324;C;547;;71;9;;;0;
4/7/10 9:11:54 AM;26;94325;C;432;;71;13;;;0;
4/7/10 9:11:33 AM;26;94326;C;350;;71;5;;;0;
4/7/10 9:07:31 AM;26;94328;C;536;;71;9;;;0;
4/7/10 9:07:12 AM;26;94329;C;456;;71;10;;;0;
4/7/10 10:49:41 AM;26;94330;C;367;;71;10;;;0;
4/7/10 9:07:48 AM;26;94331;C;653;;71;13;;;0;
4/7/10 9:08:03 AM;26;94332;C;679;;71;15;;;0;
4/7/10 9:05:43 AM;26;94333;C;484;;71;8;;;0;
4/7/10 9:05:35 AM;26;94334;C;552;;71;11;;;0;
4/7/10 9:05:27 AM;26;94335;C;528;;71;13;;;0;
4/7/10 9:05:53 AM;26;94336;C;630;;71;8;;;0;
4/7/10 9:06:01 AM;26;94337;C;421;;71;9;;;0;
4/7/10 9:04:38 AM;26;94338;C;605;;71;9;;;0;
4/7/10 9:04:29 AM;26;94339;C;501;;71;8;;;0;
4/7/10 9:04:22 AM;26;94340;C;586;;71;13;;;0;
4/7/10 9:03:54 AM;26;94341;C;399;;71;4;;;0;
4/7/10 9:04:06 AM;26;94342;C;437;;71;14;;;0;
4/7/10 9:03:08 AM;26;94343;C;610;;71;13;;;0;
4/7/10 9:02:59 AM;26;94344;C;519;;71;12;;;0;
4/7/10 9:02:45 AM;26;94346;C;439;;71;33;;;0;
4/7/10 9:02:32 AM;26;94349;C;692;;71;19;;;0;
4/7/10 9:02:22 AM;26;94350;C;208;;71;6;;;0;
4/7/10 10:16:08 AM;26;94353;C;472;;71;11;;;0;
4/7/10 10:15:55 AM;26;94354;C;606;;71;8;;;0;
4/7/10 10:15:41 AM;26;94355;C;397;;71;5;;;0;
4/7/10 10:15:06 AM;26;94356;C;262;;71;7;;;0;
4/7/10 10:15:19 AM;26;94357;C;454;;71;11;;;0;
4/7/10 9:56:21 AM;26;94358;C;635;;71;15;;;0;
4/7/10 9:55:57 AM;26;94359;C;454;;71;12;;;0;
4/7/10 9:55:47 AM;26;94360;C;389;;71;8;;;0;
4/7/10 9:56:31 AM;26;94361;C;373;;71;10;;;0;
4/7/10 9:56:42 AM;26;94362;C;802;;71;19;;;0;
4/7/10 9:57:23 AM;26;94363;C;514;;71;11;;;0;
4/7/10 9:57:11 AM;26;94364;C;694;;71;17;;;0;
4/7/10 9:57:01 AM;26;94365;C;503;;71;10;;;0;
4/7/10 9:57:34 AM;26;94366;C;495;;71;14;;;0;
4/7/10 9:57:44 AM;26;94367;C;477;;71;12;;;0;
4/7/10 10:14:41 AM;26;94368;C;469;;71;6;;;0;
4/7/10 10:14:24 AM;26;94369;C;378;;71;12;;;0;
4/7/10 10:14:11 AM;26;94370;C;523;;71;8;;;0;
4/7/10 10:13:46 AM;26;94371;C;513;;71;12;;;0;
4/7/10 10:13:59 AM;26;94372;C;444;;71;13;;;0;
4/7/10 10:01:37 AM;26;94375;C;587;;71;10;;;0;
4/7/10 10:01:25 AM;26;94376;C;414;;71;10;;;0;
4/7/10 10:01:13 AM;26;94377;C;402;;71;9;;;0;
4/7/10 10:01:49 AM;26;94378;C;298;;71;9;;;0;
4/7/10 10:02:01 AM;26;94379;C;407;;71;15;;;0;
4/7/10 10:08:55 AM;26;94380;C;431;;71;10;;;0;
4/7/10 10:08:42 AM;26;94384;C;533;;71;9;;;0;
4/7/10 10:08:30 AM;26;94385;C;180;;71;5;;;0;
4/7/10 10:07:51 AM;26;94386;C;522;;71;7;;;0;
4/7/10 10:08:15 AM;26;94387;C;816;;71;12;;;0;
4/7/10 10:10:37 AM;26;94388;C;594;;71;12;;;0;
4/7/10 10:10:26 AM;26;94389;C;765;;71;21;;;0;
4/7/10 10:10:15 AM;26;94390;C;819;;71;12;;;0;
4/7/10 10:09:29 AM;26;94391;C;724;;71;19;;;0;
4/7/10 10:10:02 AM;26;94392;C;802;;71;27;;;0;
4/7/10 10:00:35 AM;26;94393;C;539;;71;7;;;0;
4/7/10 10:00:23 AM;26;94394;C;651;;71;9;;;0;
4/7/10 10:00:11 AM;26;94395;C;270;;71;9;;;0;
4/7/10 10:00:47 AM;26;94397;C;403;;71;8;;;0;
4/7/10 10:00:58 AM;26;94398;C;670;;71;12;;;0;
4/7/10 10:12:02 AM;26;94399;C;589;;71;17;;;0;
4/7/10 9:58:18 AM;26;94400;C;601;;71;5;;;0;
4/7/10 10:11:51 AM;26;94401;C;408;;71;8;;;0;
4/7/10 10:11:12 AM;26;94402;C;616;;71;7;;;0;
4/7/10 10:11:24 AM;26;94403;C;525;;71;8;;;0;
4/7/10 10:13:03 AM;26;94404;C;476;;71;9;;;0;
4/7/10 10:11:38 AM;26;94405;C;310;;71;6;;;0;
4/7/10 9:59:52 AM;26;94406;C;931;;71;25;;;0;
4/7/10 9:59:41 AM;26;94407;C;615;;71;12;;;0;
4/7/10 9:59:23 AM;26;94408;C;536;;71;8;;;0;
4/7/10 9:59:02 AM;26;94409;C;531;;71;12;;;0;
4/7/10 10:12:51 AM;26;94410;C;793;;71;16;;;0;
4/7/10 9:59:13 AM;26;94411;C;536;;71;11;;;0;
4/7/10 10:12:36 AM;26;94412;C;674;;71;25;;;0;
4/7/10 10:13:19 AM;26;94413;C;474;;71;2;;;0;
4/7/10 10:13:31 AM;26;94414;C;463;;71;9;;;0;
4/7/10 9:58:32 AM;26;94415;C;241;;71;2;;;0;
4/7/10 9:58:44 AM;26;94418;C;904;;71;24;;;0;
4/7/10 9:57:56 AM;26;94419;C;436;;71;9;;;0;
4/7/10 9:58:06 AM;26;94420;C;668;;71;15;;;0;
4/7/10 10:07:02 AM;26;94421;C;351;;71;1;;;0;
4/7/10 10:06:48 AM;26;94422;C;444;;71;6;;;0;
4/7/10 10:06:32 AM;26;94423;C;508;;71;16;;;0;
4/7/10 10:07:25 AM;26;94424;C;694;;71;16;;;0;
4/7/10 10:07:36 AM;26;94425;C;556;;71;18;;;0;
4/7/10 10:05:42 AM;26;94426;C;358;358;71 - 77;0;0;;0;
4/7/10 10:05:27 AM;26;94427;C;573;;71;13;;;0;
4/7/10 10:05:13 AM;26;94428;C;740;;71;26;;;0;
4/7/10 10:05:55 AM;26;94429;C;897;;71;19;;;0;
4/7/10 10:06:10 AM;26;94430;C;958;;71;16;;;0;
4/7/10 10:04:52 AM;26;94431;C;195;;71;4;;;0;
4/7/10 10:04:40 AM;26;94432;C;904;;71;11;;;0;
4/7/10 10:04:29 AM;26;94433;C;709;;71;15;;;0;
4/7/10 10:03:44 AM;26;94434;C;815;;71;22;;;0;
4/7/10 10:04:09 AM;26;94435;C;960;;71;22;;;0;
4/7/10 10:03:27 AM;26;94436;C;278;;71;4;;;0;
4/7/10 10:03:14 AM;26;94437;C;473;;71;7;;;0;
4/7/10 10:02:50 AM;26;94438;C;550;;71;9;;;0;
4/7/10 10:02:14 AM;26;94439;C;513;;71;6;;;0;
4/7/10 10:02:37 AM;26;94440;C;547;;71;14;;;0;
4/7/10 9:54:41 AM;26;94441;C;945;;71;22;;;0;
4/7/10 9:54:24 AM;26;94442;C;147;;71;2;;;0;
4/7/10 9:54:11 AM;26;94443;C;375;;71;10;;;0;
4/7/10 9:53:47 AM;26;94444;C;514;;71;11;;;0;
4/7/10 9:54:00 AM;26;94445;C;336;;71;8;;;0;
4/7/10 9:53:31 AM;26;94446;C;321;;71;6;;;0;
4/7/10 9:53:19 AM;26;94447;C;393;;71;12;;;0;
4/7/10 9:53:09 AM;26;94448;C;362;;71;12;;;0;
4/7/10 9:52:45 AM;26;94449;C;786;;71;17;;;0;
4/7/10 9:52:56 AM;26;94450;C;765;;71;11;;;0;
4/7/10 9:39:06 AM;26;94451;C;414;;71;11;;;0;
4/7/10 9:38:56 AM;26;94452;C;667;;71;12;;;0;
4/7/10 9:38:32 AM;26;94453;C;727;;71;21;;;0;
4/7/10 9:39:17 AM;26;94454;C;429;;71;12;;;0;
4/7/10 9:39:28 AM;26;94455;C;1154;;71;25;;;0;
4/7/10 9:37:54 AM;26;94456;C;625;;71;14;;;0;
4/7/10 9:37:45 AM;26;94457;C;664;;71;12;;;0;
4/7/10 9:37:36 AM;26;94458;C;687;;71;9;;;0;
4/7/10 9:38:03 AM;26;94459;C;586;;71;11;;;0;
4/7/10 9:38:17 AM;26;94460;C;444;;71;13;;;0;
4/7/10 9:52:12 AM;26;94461;C;728;;71;16;;;0;
4/7/10 9:52:01 AM;26;94462;C;715;;71;15;;;0;
4/7/10 9:51:50 AM;26;94463;C;632;;71;16;;;0;
4/7/10 9:52:23 AM;26;94464;C;562;;71;11;;;0;
4/7/10 9:52:34 AM;26;94465;C;533;;71;10;;;0;
4/7/10 9:51:01 AM;26;94466;C;414;;71;5;;;0;
4/7/10 9:50:50 AM;26;94467;C;931;;71;10;;;0;
4/7/10 9:50:39 AM;26;94468;C;694;;71;16;;;0;
4/7/10 9:51:24 AM;26;94469;C;760;;71;14;;;0;
4/7/10 9:51:35 AM;26;94470;C;431;;71;9;;;0;
4/7/10 9:41:19 AM;26;94471;C;602;;71;11;;;0;
4/7/10 9:41:07 AM;26;94472;C;669;;71;6;;;0;
4/7/10 9:40:56 AM;26;94473;C;621;;71;17;;;0;
4/7/10 9:40:36 AM;26;94474;C;582;;71;10;;;0;
4/7/10 9:40:45 AM;26;94475;C;605;;71;11;;;0;
4/7/10 9:40:19 AM;26;94476;C;527;;71;8;;;0;
4/7/10 9:40:10 AM;26;94477;C;311;;71;8;;;0;
4/7/10 9:40:00 AM;26;94478;C;478;;71;11;;;0;
4/7/10 9:39:39 AM;26;94479;C;1154;;71;22;;;0;
4/7/10 9:39:49 AM;26;94480;C;963;;71;23;;;0;
4/7/10 9:42:48 AM;26;94481;C;58;;71;8;;;0;
4/7/10 9:42:36 AM;26;94482;C;656;;71;12;;;0;
4/7/10 9:43:08 AM;26;94483;C;493;;71;4;;;0;
4/7/10 9:43:19 AM;26;94484;C;308;;71;8;;;0;
4/7/10 9:41:52 AM;26;94485;C;790;;71;15;;;0;
4/7/10 9:41:42 AM;26;94486;C;493;;71;10;;;0;
4/7/10 9:41:32 AM;26;94487;C;520;;71;11;;;0;
4/7/10 9:42:01 AM;26;94488;C;626;;71;11;;;0;
4/7/10 9:42:10 AM;26;94489;C;1150;;71;23;;;0;
4/7/10 9:50:18 AM;26;94490;C;435;;71;8;;;0;
4/7/10 9:50:08 AM;26;94491;C;530;;71;13;;;0;
4/7/10 9:49:58 AM;26;94492;C;672;;71;12;;;0;
4/7/10 9:49:37 AM;26;94493;C;829;;71;16;;;0;
4/7/10 9:49:47 AM;26;94494;C;725;;71;15;;;0;
4/7/10 9:49:18 AM;26;94495;C;418;;71;7;;;0;
4/7/10 9:49:07 AM;26;94496;C;716;;71;15;;;0;
4/7/10 9:48:55 AM;26;94497;C;271;;71;8;;;0;
4/7/10 9:48:34 AM;26;94498;C;807;;71;25;;;0;
4/7/10 9:48:45 AM;26;94499;C;239;;71;7;;;0;
4/7/10 9:42:58 AM;26;94500;C;308;;71;7;;;0;
4/7/10 9:47:52 AM;26;94501;C;617;;71;8;;;0;
4/7/10 9:47:42 AM;26;94502;C;893;;71;18;;;0;
4/7/10 9:47:31 AM;26;94503;C;467;;71;8;;;0;
4/7/10 9:48:08 AM;26;94504;C;542;;71;8;;;0;
4/7/10 9:48:18 AM;26;94505;C;677;;71;14;;;0;
4/7/10 9:46:32 AM;26;94506;C;529;;71;11;;;0;
4/7/10 9:46:22 AM;26;94507;C;499;;71;10;;;0;
4/7/10 9:46:12 AM;26;94508;C;490;;71;4;;;0;
4/7/10 9:46:42 AM;26;94509;C;645;;71;14;;;0;
4/7/10 9:46:53 AM;26;94510;C;563;;71;13;;;0;
4/7/10 9:45:56 AM;26;94511;C;414;;71;11;;;0;
4/7/10 9:45:45 AM;26;94512;C;522;;71;12;;;0;
4/7/10 9:45:35 AM;26;94513;C;917;;71;19;;;0;
4/7/10 9:45:01 AM;26;94514;C;420;;71;15;;;0;
4/7/10 9:45:13 AM;26;94515;C;377;;71;9;;;0;
4/7/10 9:44:36 AM;26;94516;C;561;;71;22;;;0;
4/7/10 9:44:26 AM;26;94517;C;397;;71;12;;;0;
4/7/10 9:44:15 AM;26;94518;C;637;;71;15;;;0;
4/7/10 9:43:37 AM;26;94519;C;554;;71;16;;;0;
4/7/10 9:43:58 AM;26;94520;C;797;;71;22;;;0;
4/7/10 8:47:08 AM;26;94736;C;14790;;71;332;;;0;
4/7/10 2:56:48 PM;26;95049;C;;30019;;;603;;0;
